GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,DoubleBinaryOperatorWithException,0,66,0,0,0,17,0,9,0,9
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,DoublePredicateWithException.new DoublePredicateWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,DoublePredicateWithException.new DoublePredicateWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,BiConsumerWithException.new BiConsumerWithException() {...},0,18,0,0,0,4,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,RunnableWithException,0,87,0,0,0,22,0,17,0,17
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,LongUnaryOperatorWithException.new LongUnaryOperatorWithException() {...},0,17,0,0,0,3,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,IntFunctionWithException,0,109,0,0,0,18,0,21,0,21
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,SupplierWithException,0,102,0,0,0,20,0,20,0,20
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,BooleanSupplierWithException,0,66,0,0,0,17,0,9,0,9
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,CommonsCollections4Helper,0,56,0,0,0,7,0,7,0,7
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,IntDefaultValue,0,2,0,0,0,1,0,1,0,1
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,IntConsumerWithException.new IntConsumerWithException() {...},0,17,0,0,0,4,0,3,0,3
Powerunit - Java Testing framework for JDK 10 - Extension to provide unchecked exception for lambda.,ch.powerunit.extensions.exceptions,DoubleToIntFunctionWithException,0,67,0,0,0,17,0,9,0,9
